stage,step,rows_before,rows_after,rows_removed,reason,columns_before,columns_after
stage1_combine,combine_fake_and_true,44898,44898,0,"Concatenated Fake.csv (label=0) and True.csv (label=1) and added a label column; no rows removed, no cleaning applied",4,5
stage2_clean,remove_corrupted_rows,44898,44888,10,"Rows with a non-standard `date` value whose title/text were manually confirmed to contain no real article (bare image/article URLs, or a leaked page-builder template) - see docs/data_cleaning_strategy.md",5,5
stage2_clean,remove_empty_articles,44888,44257,631,Rows where the `text` field is empty or whitespace-only,5,5
stage2_clean,deduplicate_articles,44257,38638,5619,"Duplicate `text` values, keeping the first occurrence - see docs/duplicate_analysis.md",5,5
stage2_clean,strip_reuters_prefix,38638,38638,0,"Removed a leading Reuters wire-service dateline from 20887 rows (text modified in place, no rows removed) - see docs/label_leakage_analysis.md",5,5
stage2_clean,drop_leakage_columns,38638,38638,0,Dropped `subject` and `date` columns (label leakage) - see docs/label_leakage_analysis.md,5,3
stage3_preprocess,combine_title_and_text,38638,38638,0,Concatenated title + text into a single `content` field; no rows removed,3,4
stage3_preprocess,clean_text_baseline,38638,38638,0,"Baseline NLP cleaning: lowercase, HTML/URL/punctuation removal, stop-word removal, lemmatization - see docs/preprocessing_plan.md",4,5
stage3_preprocess,clean_text_lstm,38638,38638,0,"LSTM NLP cleaning: same as baseline but WITHOUT stop-word removal or lemmatization, to preserve word order and negation - see docs/preprocessing_plan.md",5,6
stage3_preprocess,remove_rows_emptied_by_cleaning,38638,38638,0,Dropped rows that became empty after NLP cleaning (e.g. an article consisting only of stop words/punctuation/URLs),6,6
